Text,Color,Location,Date
278946890001,small_red,"33.9277809,-118.2734234",
278947020001,small_red,"33.928486,-118.2867701",
1197235430001,small_red,"33.9273155,-118.2697539",
1201124990001,small_red,"33.927306,-118.2623264",
278947280001,small_red,"33.9279731,-118.2742989",
278947330001,small_red,"33.928486,-118.2784617",
278947300001,small_red,"33.9284504,-118.2777922",
278946890002,small_red,"33.9273158,-118.2698816",
383297780002,small_red,"33.9252387,-118.3229541",
383297780003,small_red,"33.9253242,-118.3199843",
383297780004,small_red,"33.9280872,-118.2968037",
383297780005,small_red,"33.9284993,-118.2912766",
383297780006,small_red,"33.9285166,-118.2897124",
278947010001,small_red,"33.928486,-118.2871563",
278947250002,small_red,"33.9285287,-118.2807705",
1201124960001,small_red,"33.9273109,-118.2648622",
278947250001,small_red,"33.9285073,-118.2830107",
278947310001,small_red,"33.9285199,-118.2796154",
1197235330001,small_red,"33.9273145,-118.2692362",
1201125020001,small_red,"33.9273055,-118.2619026",
1201124950001,small_red,"33.9273095,-118.2655399",
716427,small_yellow,"33.927833,-118.27389",
716431,small_yellow,"33.927433,-118.265348",
774614,small_yellow,"33.928517,-118.284403",
716433,small_yellow,"33.927455,-118.26225",
765476,small_yellow,"33.92845,-118.27758",
760167,small_yellow,"33.92838,-118.276885",
760112,small_yellow,"33.925223,-118.322296",
716421,small_yellow,"33.927104,-118.300437",
716424,small_yellow,"33.928389,-118.29385",
760187,small_yellow,"33.928484,-118.250332",
S1 End,small_red,"33.9273049,-118.2614055",
322754580001,small_red,"34.1868025,-118.4740523",
322753520002,small_red,"34.1979122,-118.4740393",
494363920001,small_red,"34.2010074,-118.4733784",
322672930001,small_red,"34.1937105,-118.4741725",
494364000001,small_red,"34.2167226,-118.473126",
494364000002,small_red,"34.2181097,-118.4731149",
494363860001,small_red,"34.2082265,-118.4731852",
1947122310001,small_red,"34.1921273,-118.4741426",
322753520001,small_red,"34.1941222,-118.4741811",
494364020001,small_red,"34.2162826,-118.4731295",
322753520003,small_red,"34.2004335,-118.4735011",
494363930002,small_red,"34.2052878,-118.4732325",
494363850001,small_red,"34.2085673,-118.4731797",
494363930001,small_red,"34.2014191,-118.4733269",
717819,small_yellow,"34.187843,-118.474071",
717823,small_yellow,"34.202638,-118.473255",
767367,small_yellow,"34.212166,-118.473111",
717825,small_yellow,"34.22164,-118.473074",
1735174300011,small_red,"34.0273132,-118.3002374",
1735174300019,small_red,"34.0209725,-118.3002104",
1735174300016,small_red,"34.0236818,-118.3002414",
1735174300017,small_red,"34.0227773,-118.3002339",
1735174300018,small_red,"34.0218762,-118.300222",
1735174300026,small_red,"34.0177805,-118.3001708",
1735174300010,small_red,"34.0291182,-118.3002724",
1735174300007,small_red,"34.0327366,-118.3002805",
